,src,dst,relationship,weight
101,137599961,902414532,call,850
102,137599961,902414532,call,308
103,879711562,902414532,call,176
104,273508404,902414532,call,605
105,273508404,902414532,call,1069
106,11255559,902414532,call,42
107,668521861,902414532,call,236
108,668521861,902414532,call,204
109,950196627,510543048,call,362
110,950196627,510543048,call,649
111,902414532,11283138,call,108
112,902414532,11283138,call,58
113,11254526,11283138,call,74
114,11282843,11283138,call,510
115,11282843,11283138,call,838
116,531526145,11283138,call,17
117,531526145,11283138,call,69
118,11283264,11283138,call,6221
119,11283264,11283138,call,1877
120,137753751,11283138,call,1153
121,137753751,11283138,call,942
122,11282541,11283138,call,1263
123,11255674,11283138,call,89
124,950196627,11283138,call,469
125,950196627,11283138,call,113
126,137671151,11283138,call,134
127,916965905,11283138,call,68
128,11255559,11283138,call,65
129,11254171,11283138,call,45
130,902414532,11255593,call,227
131,902414532,11255593,call,80
132,11254526,11255593,call,37
133,11254526,11255593,call,231
134,311719264,11255593,call,4163
135,311719264,11255593,call,3355
136,11255216,11255593,call,1076
137,11283264,11255593,call,556
138,748408215,11255593,call,801
139,748408215,11255593,call,408
140,137753751,11255593,call,87
141,137753751,11255593,call,348
142,11255674,11255593,call,67
143,11255674,11255593,call,51
144,1022648568,11255593,call,1604
145,1022648568,11255593,call,1656
146,137671151,11255593,call,127
147,137671151,11255593,call,18
148,713229829,11255593,call,2468
149,713229829,11255593,call,3807
150,137599961,11255593,call,32
151,11255559,11255593,call,12
152,11255559,11255593,call,766
153,11254526,219316320,call,709
154,11254526,219316320,call,194
155,311719264,219316320,call,1767
156,11255216,219316320,call,329
157,11255216,219316320,call,393
158,1126297890,219316320,call,250
159,11282849,219316320,call,123
160,11255674,219316320,call,101
161,713229829,219316320,call,205
162,713229829,219316320,call,30
163,11282766,219316320,call,1594
164,11282766,219316320,call,72
165,902414532,532357376,call,196
166,902414532,532357376,call,117
167,11254526,532357376,call,2405
168,11254526,532357376,call,1987
169,311719264,532357376,call,69
170,11255216,532357376,call,1313
171,11255216,532357376,call,5022
172,950196627,532357376,call,49
173,137599961,532357376,call,2170
174,137599961,532357376,call,302
175,668521861,532357376,call,1028
176,668521861,532357376,call,2251
177,902414532,668521861,call,204
178,902414532,668521861,call,236
179,11255216,668521861,call,71
180,11255216,668521861,call,30
181,1126297890,668521861,call,86
182,1126297890,668521861,call,49
183,11282273,668521861,call,4642
184,11282273,668521861,call,6245
185,11282766,668521861,call,262
186,11255559,668521861,call,335
187,11282766,736285512,call,453
188,916965905,736285512,call,1448
189,916965905,736285512,call,1302
190,879711562,736285512,call,2256
191,879711562,736285512,call,1456
192,273508404,736285512,call,7649
193,273508404,736285512,call,4909
194,11254171,736285512,call,18
195,11254171,736285512,call,158
196,11255674,739355873,call,578
197,11255674,739355873,call,904
198,531526145,1126297890,call,35
199,531526145,1126297890,call,11
200,11282849,1126297890,call,199
201,11282541,1126297890,call,193
202,713229829,1126297890,call,188
203,713229829,1126297890,call,106
204,879711562,1126297890,call,698
205,1019482902,1126297890,call,100
206,668521861,1126297890,call,49
207,668521861,1126297890,call,86
208,11254526,963240424,call,116
209,11254526,963240424,call,120
210,311719264,963240424,call,118
211,311719264,963240424,call,51
212,1126297890,963240424,call,137
213,11282849,963240424,call,103
214,11282849,963240424,call,557
215,11282541,963240424,call,311
216,879711562,963240424,call,85
217,11254526,1213690282,call,169
218,1126297890,1213690282,call,943
219,1126297890,1213690282,call,4508
220,137599961,1213690282,call,286
221,879711562,1213690282,call,292
222,879711562,1213690282,call,49
223,1019482902,1213690282,call,59
224,1019482902,1213690282,call,39
225,902414532,11255415,call,37
226,11283138,11255415,call,244
227,11283138,11255415,call,183
228,11283264,11255415,call,445
229,748408215,11255415,call,911
230,137753751,11255415,call,10135
231,137753751,11255415,call,5494
232,11282541,11255415,call,516
233,1022648568,11255415,call,97
234,1022648568,11255415,call,1881
235,137671151,11255415,call,2549
236,137671151,11255415,call,1427
237,11282766,11255415,call,317
238,11282766,11255415,call,158
239,11255559,11255415,call,2071
240,11255559,11255415,call,948
241,311719264,11254526,call,8078
242,311719264,11254526,call,819
243,11283138,11254526,call,74
244,11255216,11254526,call,2112
245,11255216,11254526,call,981
246,950196627,11254526,call,33
247,950196627,11254526,call,148
248,713229829,11254526,call,100
249,713229829,11254526,call,462
250,845248807,11254526,call,18
251,845248807,11254526,call,353
252,902414532,92267156,call,243
